"word","forms"
"νεανίων","gen pl mas"
"χρόνοι","voc pl mas"
"ἄνθρωπον","acc sg mas"
"λόγος","nom sg mas"
"κώμης","gen sg fem"
"πατρίδα","acc sg fem"
"φύλακα","acc sg mas"
"ἄρχοντα","acc sg mas"
"ποταμῷ","dat sg mas"
"ἄνδρα","acc sg mas"
"θεᾷ","dat sg fem"
"ξένῳ","dat sg mas"
"θαλαττῶν","gen pl fem"
"νεανίαν","acc sg mas"
"γυναῖκα","acc sg fem"
"Ἕλληνι","dat sg mas"
"δίκας","acc pl fem"
"πυρί","dat sg neu"
"ἵππῳ","dat sg mas"
"παῖδα","acc sg mas"
"Ἕλληνας","acc pl mas"
"τιμαί","voc pl fem"
"Ἐλλάς","voc sg fem"
"ἀνδρῶν","gen pl mas"
"τιμή","voc sg fem"
"ἄρχοντων","gen pl mas"
"ποδός","gen sg mas"
"φίλου","gen sg mas"
"ἵπποι","voc pl mas"
"ἄρχουσι","dat pl mas"
"n/a","voc sg fem"
"βάρβαρος","nom sg mas"
"δῶρα","voc pl neu"
"πυρῶν","gen pl neu"
"θάλατταν","acc sg fem"
"καμήλοις","dat pl mas"
"πυρά","voc pl neu"
"ἵππων","gen pl mas"
"οἰκίας","acc pl fem"
"ἡμέρας","acc pl fem"
"ὑδάτων","gen pl neu"
"παῖδας","acc pl mas"
"χρόνους","acc pl mas"
"βαρβάρου","gen sg mas"
"μήτηρ","nom sg fem"
"ὁδοί","voc pl fem"
"βίους","acc pl mas"
"κώμην","acc sg fem"
"φυλάκων","gen pl mas"
"πατήρ","nom sg mas"
"ξένων","gen pl mas"
"γυναικός","gen sg fem"
"τέκνοις","dat pl neu"
"ποταμός","nom sg mas"
"πράγματι","dat sg neu"
"μητέρων","gen pl fem"
"ποιητοῦ","gen sg mas"
"χώραις","dat pl fem"
"νὺξ","nom sg fem"
"Ἑλλάδες","voc pl fem"
"ἵππε","voc sg mas"
"ἄνθρωποι","voc pl mas"
"ἄνδρας","acc pl mas"
"ὕδασι","dat pl neu"
"ἡμέραν","acc sg fem"
"Ἕλληνα","acc sg mas"
"θεᾶς","gen sg fem"
"ποιηταί","voc pl mas"
"ἔργῳ","dat sg neu"
"ποῦ","voc sg mas"
"πράγμασι","dat pl neu"
"Πέρσης","nom sg mas"
"ἡγεμόσιν","dat pl mas"
"πόδες","voc pl mas"
