"word","forms"
"τῆς τιμῆς","gen sg fem"
"τὰς ὁδούς","acc pl fem"
"θάνατε","voc sg mas"
"τῷ πολίτῃ","dat sg mas"
"τὴν θάλατταν","acc sg fem"
"αἱ θάλατται","nom pl fem"
"ταῖς Ἑλλάσι","dat pl fem"
"τὴν χώραν","acc sg fem"
"θάλατται","voc pl fem"
"πράγματα","voc pl neu"
"τὴν ἀγοράν","acc sg fem"
"τῇ νυκτί","dat sg fem"
"τῇ χώρᾳ","dat sg fem"
"ὁ ἀδελφός","nom sg mas"
"οἱ πολῖται","nom pl mas"
"τοῖς θανάτοις","dat pl mas"
"μῆτερ","voc sg fem"
"τοὺς ποιητάς","acc pl mas"
"τοῦ νεανίου","gen sg mas"
"τοῦ πυρός","gen sg neu"
"ἀρχαῖς","dat pl fem"
"ἡγεμόνες","voc pl mas"
"ὁ ἀνήρ","nom sg mas"
"ποταμέ","voc sg mas"
"τῶν τέκνων","gen pl neu"
"τῶν βίων","gen pl mas"
"τὰ πράγματα","acc pl neu"
"ταῖς νυξί(ν)","dat pl fem"
"φύλαξ","voc sg mas"
"τῶν πατέρων","gen pl mas"
"τὰ τέκνα","acc pl neu"
"τὸν πατέρα","acc sg mas"
"τῇ μητρί","dat sg fem"
"ἡμέραι","voc pl fem"
"τῇ οἰκίᾳ","dat sg fem"
"ἄνθρωπε","voc sg mas"
"τῶν ξένων","gen pl mas"
"στρατιῶται","voc pl mas"
"ποῦ","voc sg mas"
"ὁ ἵππος","nom sg mas"
"τὸν στρατηγόν","acc sg mas"
"τῆς κώμης","gen sg fem"
"τὴν οἰκίαν","acc sg fem"
"ποιητά","voc sg mas"
"ὕδατα","voc pl neu"
"ἄρχοντας","acc pl mas"
"τοῖς πράγμασι","dat pl neu"
"ὁ ποιητής","nom sg mas"
"τοῖς ἀδελφοῖς","dat pl mas"
"νύκτες","voc pl fem"
"τὸ ὕδωρ","acc sg neu"
"χρόνοι","voc pl mas"
"τὴν τιμήν","acc sg fem"
"τῶν κωμῶν","gen pl fem"
"τὸ πῦρ","acc sg neu"
"τῶν Ἀθηνῶν","gen pl fem"
"τοῦ σταδίου","gen sg neu"
"δίκη","voc sg fem"
"τῷ πράγματι","dat sg neu"
"τοῖς ὕδασι","dat pl neu"
"οἱ χρόνοι","nom pl mas"
"κάμηλε","voc sg mas"
"οἱ ἄνθρωποι","nom pl mas"
"ἡ μήτηρ","nom sg fem"
"ἄρχων","nom sg mas"
"λόγε","voc sg mas"
"τῶν φίλων","gen pl mas"
"ὁ ἡγεμών","nom sg mas"
"τοῦ ἀδελφοῦ","gen sg mas"
"αἱ ἀγοραί","nom pl fem"
"τῶν ἵππων","gen pl mas"
"τῶν καμήλων","gen pl mas"
"τῷ καμήλῳ","dat sg mas"
"ἀρχῶν","gen pl fem"
"τοῦ θεοῦ","gen sg mas"
"τοῖς ὅπλοις","dat pl neu"
"ἡμέρα","voc sg fem"
"ὁ χρόνος","nom sg mas"
"οἱ θάνατοι","nom pl mas"
"αἱ δίκαι","nom pl fem"
"ποιηταί","voc pl mas"
"τοῦ δώρου","gen sg neu"
"τοῦ στρατηγοῦ","gen sg mas"
"γυναῖκες","voc pl fem"
"πόδες","voc pl mas"
"τῇ θεᾷ","dat sg fem"
"τοῦ ἡγεμόνος","gen sg mas"
"τῷ ποδί","dat sg mas"
"στρατηγοί","voc pl mas"
"τὴν μητέρα","acc sg fem"
"γύναι","voc sg fem"
"αἱ ὁδοί","nom pl fem"
"ὁ λόγος","nom sg mas"
"τοὺς ἀνθρώπους","acc pl mas"
