"pos","form","translation","notes","chapter"
"adjective","σοφός, σοφή, σοφόν","wise",,6
"adjective","ἀγαθός, ἀγαθή, ἀγαθόν","good",,6
"adjective","Ἀθηναῖος, Ἀθηναίa, Ἀθηναίου","Athenian",,6
"adjective","δίκαιος, δικαία, δίκαιον","just, righteous",,6
"adjective","κακός, κακή, κακόν","bad, evil",,6
"adjective","καλός, καλή, καλόν","beautiful, good",,6
"adjective","μακρός, μακρά, μακρόν","long",,6
"adjective","μικρός, μικρά, μικρόν","small, little",,6
"adjective","δέκατος, δέκατη, δέκατον","tenth",,8
"adjective","μέγας, μεγάλη, μέγα","great, large",,8
"adjective","πᾶς, πᾶσα, πᾶν","every, all",,8
"adjective","τάλας, τάλαινα, τάλαν","wretched, miserable, suffering",,8
"adverb","ἀεί","always",,4
"adverb","καί","also, too, even",,4
"adverb","νῦν","now",,4
"adverb","ου","not","used for all statements and questions except deliberative questions",4
"adverb","οὐ","not","used for all statements and questions except deliberative questions",4
"adverb","οὐκ","not","before a smooth breathing",4
"adverb","οὐχ","not","before a rough breathing",4
"adverb","οὔ","not","before a punctuation mark",4
"adverb","εὔ","well",,5
"adverb","κακῶς","badly",,5
"adverb","σὖν","so, therefor, in fact","postpositive",7
"adverb","τότε","then, at that time",,7
"adverb","μή","not","used for all commands, exhortations, and wishes, with most infinitives, etc",8
"adverb","πάλιν","back; again",,8
"adverb","τοτἐ","at some time, ever, in the world","enclitic",8
"conjunction","ἀλλά","but, however, nevertheless",,3
"conjunction","δέ","and, but","postpos.",3
"conjunction","ἤ","or",,3
"conjunction","ἤ ... ἤ","either ... or",,3
"conjunction","καί","and",,3
"conjunction","καί ... καί","both ... and",,3
"conjunction","γἀρ","for, because","postpos",6
"conjunction","καί γάρ","for in fact",,6
"conjunction","μέν","(contrast)","paired with δἐ to indicate contrast",6
"conjunction","οὐδέ","and not, but not, not even",,6
"conjunction","οὐδέ ... οὐδέ","neither ... nor",,6
"conjunction","τε","and","enclitic",6
"conjunction","τε ... καί","both ... and",,6
"conjunction","τε ... τε","both ... and",,6
"exclamation","ὦ","O!",,3
"noun","ἀγορά, ἀγορᾶς, ἡ","marketplace",,3
"noun","ἄνθρωπος, ἀνθρώπου, ὁ","man, human",,3
"noun","δῶρον, δώρου, τό","gift",,3
"noun","ἔργον, ἔργου, τό","work",,3
"noun","θάλαττα, θαλάττης, ἡ","sea",,3
"noun","θεά, θεᾶς, ἡ","goddess",,3
"noun","θεός, θεοῦ, ὁ","god",,3
"noun","ἵππος, ἵππου, ὁ","horse",,3
"noun","κώμη, κώμης, ἡ","village",,3
"noun","ξένος, ξένου, ὁ","stranger, guest",,3
"noun","οἰκία, οἰκίας, ἡ","house",,3
"noun","τέκνον, τέκνου, τό","child",,3
"noun","τιμή, τιμῆς, ἡ","honor",,3
"noun","φίλος, φίλου, ὁ","friend",,3
"noun","ἀδελφός, ἀδελφοῦ, ὁ","brother",,3
"noun","βάρβαρος, βαρβάρου, ὁ","foreigner, barbarian",,3
"noun","Ἀθῆναι, Ἀθηνῶν, αἱ","Athens",,4
"noun","λόγος, λόγου, ὁ","word",,4
"noun","νεανίας, νεανίου, ὁ","youth",,4
"noun","ὁδός, ὁδοῦ, ἡ","way, road",,4
"noun","Πέρσης, Πέρσου, ὁ","Persian",,4
"noun","πολίτης, πολίτου, ὁ","citizen",,4
"noun","ποταμός, ποταμοῦ, ὁ","river",,4
"noun","στρατιώτης, στρατιώτου, ὁ","soldier",,4
"noun","χώρα, χώρας, ἡ","land, country",,4
"noun","βίος, βίου, ὁ","life",,6
"noun","ἡμέρα, ἡμέρας, ἡ","day",,5
"noun","θάνατος, θανάτου, ὁ","death",,6
"noun","στρατηγός, στρατηγοῦ, ὁ","general",,6
"noun","ἀδελφός, ἀδελφοῦ, ὁ","brother",,6
"noun","βάρβαρος, βαρβάρου, ὁ/ἡ","foreigner",,6
"noun","ὅπλον, ὅπλου, τό","weapon",,6
