"δέκατος, δέκατη, δέκατον","tenth"
"μέγας, μεγάλη, μέγα","great, large"
"πᾶς, πᾶσα, πᾶν","every, all"
"τάλας, τάλαινα, τάλαν","wretched, miserable, suffering"
"μή","not"
"πάλιν","back; again"
"τοτἐ","at some time, ever, in the world"
"ἀρχή, ἀρχῆς, ἡ","rule; empire; province; beginning"
"ἄρχων, ἄρχοντος, ὁ","archon, ruler, leader"
"Ἐλλάς, Ἑλλάδος, ἡ","Greece"
"κάμηλος, καμήλου, ὁ","camel"
"ποιητής, ποιητοῦ, ὁ","poet"
"ἄρχω, ἀρξομαι, ἦρξα","begin, command, rule"
"ἐθέλω, ἐθελήσομαι, ἠθέλησα","will, wish"
"κελεύω, κελεύσω, ἐκέλευσα","command, order"
"μέλλω, μελλήσω, ἐμέλλησα","intend, be about to"
"οἷός τέ εἰμι","am such as"
