"form","translation"
"ἀληθής, ἀληθής, ἀληθές","true"
"ἄξιος, ἀξία, ἄξιον","worthy"
"ἀσφαλής, ἀσφαλής, ἀσφαλές","safe"
"ἄξιος, ἀξία, ἄξιον","worthy"
"ἀσφαλής, ἀσφαλής, ἀσφαλές","safe"
"εὐδαίμων, εὐδαίμων, εὐδαίμον","blessed, happy"
"ψευδής, ψευδής, ψευδές","false"
"γῆ, γῆς, ἡ","earth"
"εἰρήνη, εἰρήνης, ἡ","peace"
"ἐπί","on, upon"
"ἐπί","on, at, near"
"ἐπί","toward, against; upon, on to, up to"
"ἀποκτείνω","I kill"
"βάλλω","I throw"
"εἰσβάλλω","I throw in"
"πεπιβάλλω","I impose"
"βοηθέω","I help"
"βουλέω","I wish, I want"
"συμβουλέω","I advise"
"διαφθείρω","I destroy"
"μένω","I stay"
"νικάω","I conquer"
"ἀποκτείνω, ἀποκτενῶ, ἀπέκτεινα","I kill"
"βάλλω, βαλῶ, ἔβαλον","I throw"
"εἰσβάλλω, εἰσβαλῶ, εἰσέβαλον","I throw in"
"πεπιβάλλω, πεπιβαλῶ, πεπέβαλον","I impose"
"βοηθέω, βοηθήσω, ἐβοήθησα","I help"
"βουλέω, βουλήσω, ἐβουλήθην","I wish, I want"
"συμβουλέω, συμβουλεύσω, συνεβούλευσα","I advise"
"διαφθείρω, διαφθερῶ, διέφθειρα","I destroy"
"μένω, μενῶ, ἔμεινα","I stay"
"νικάω, νικήσω, ἐνίκησα","I conquer"
